CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
P6_6_1,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Por cuenta propia",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_2,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En el trabajo",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_3,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En la escuela",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_4,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En cursos pagados fuera de la escuela",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_5,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
En cursos gratuitos fuera de la escuela",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_6,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Con parientes, amigos, conocidos o vecinos",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6_7,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Otro modo",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_6A,"6.6 ¿Cómo aprendió a utilizar la computadora, laptop o tablet? 
Otro modo Especifique",100,Varchar2 ,[A-Z],
P6_7_1,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 el hogar?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_2,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 el trabajo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_3,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 la escuela o institución educativa?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_4,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 un sitio público con costo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_5,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 un sitio público sin costo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_6,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 casa de otra persona (amigo o familiar)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_7,"6.7 ¿La computadora, laptop o tablet la utiliza en…
 cualquier otro lugar con una portátil?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7_8,"6.7 La computadora, laptop o tablet la utiliza en…
 Otro lugar",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_7A,"6.7 La computadora, laptop o tablet la utiliza en…
Otro lugar Especifique",100,Varchar2 ,[A-Z],
P6_8_1,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 enviar y recibir correo electrónico?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_2,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 descargar contenidos de internet (música, videos, documentos, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_3,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 copiar archivos entre directorios (carpetas)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_4,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear archivos de texto?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_5,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear hojas de cálculo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_6,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear presentaciones?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_7,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 instalar dispositivos periféricos (impresora, proyector, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_8,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear o usar base de datos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_9,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 programar en lenguaje especializado?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8_10,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 otras habilidades?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_8A,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 otras habilidades? Especifique",100,Varchar2 ,[A-Z],
P6_9_1," 6.9 ¿Para qué usa la computadora, laptop o tablet?
 Para actividades laborales",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9_2,"6.9 ¿Para qué usa la computadora, laptop o tablet?
 Para labores escolares",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9_3,"6.9 ¿Para qué usa la computadora, laptop o tablet?
 Como medio de capacitación",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9_4,"6.9 ¿Para qué usa la computadora, laptop o tablet?
 Para entretenimiento",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9_5,"6.9 ¿Para qué usa la computadora, laptop o tablet?
 Para acceso a internet",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9_6,"6.9 ¿Para qué usa la computadora, laptop o tablet?
 Otro uso",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P6_9A,"6.9 ¿Para qué usa la computadora, laptop o tablet?
Otro uso Especifique",100,Varchar2 ,[A-Z],
P7_1,"7.1 En los últimos tres meses, ¿ha utilizado Internet en este hogar o fuera de él?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_2,7.2 ¿Por qué no utiliza Internet?,1,Varchar2 ,[1-8],"1 No tiene acceso, aunque sabe utilizarlo, 2 No sabe utilizarlo, 3 No le interesa o no lo necesita, 4 Por falta de recursos económicos, 5 Por discapacidad física o mental, 6 Por razones relacionadas con la privacidad o seguridad, 7 No le permiten usarlo, 8 Otra razón"
P7_2A,"7.2 ¿Por qué no utiliza Internet?
 Otra razón Especifique",100,Varchar2 ,[A-Z],
P7_3,"7.3 Generalmente, ¿con qué frecuencia hace uso del Internet?",1,Varchar2 ,[1-5],"1 Diario (7 día a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor"
P7_4,"7.4 En promedio, ¿cuántas horas al día utiliza Internet?",2,Varchar2 ,[01-12],"01 Una hora o menos, 12 Doce horas o más"
P7_5_1,"7.5 ¿Se conecta a Internet por medio de…
 computadora de escritorio?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_2,"7.5 ¿Se conecta a Internet por medio de…
 computadora portátil (laptop, notebook)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_3,"7.5 ¿Se conecta a Internet por medio de…
 tablet?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_4,"7.5 ¿Se conecta a Internet por medio de…
 celular inteligente (Smartphone)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_5,"7.5 ¿Se conecta a Internet por medio de…
 televisión con acceso a Internet (Smart TV), o algún dispositivo conectado a ésta?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_6,"7.5 ¿Se conecta a Internet por medio de…
 consola de videojuego?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5_7,"7.5 ¿Se conecta a Internet por medio de…
 Otro equipo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_5A,"7.5 ¿Se conecta a Internet por medio de…
Otro equipo? Especifique",100,Varchar2 ,[A-Z],
P7_6,7.6 ¿Desde hace cuánto tiempo utiliza Internet?,1,Varchar2 ,[1-5],"1 Menos de 1 año, 2 Entre 1 y hasta 2 años, 3 Más de 2 y hasta 5 años, 4 Más de 5 años, 5 No recuerda"
P7_7_1,"7.7 ¿Ha utilizado internet en…
 el hogar ?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_2,"7.7 ¿Ha utilizado internet en…
 el trabajo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_3,"7.7 ¿Ha utilizado internet en…
 la escuela o institución educativa?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_4,"7.7 ¿Ha utilizado internet en…
 un sitio público con costo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_5,"7.7 ¿Ha utilizado internet en…
 un sitio público sin costo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_6,"7.7 ¿Ha utilizado internet en…
 casa de otra persona (amigo o familiar)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_7,"7.7 ¿Ha utilizado internet en…
 cualquier lugar mediante una conexión móvil (incluye Smartphone)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7_8,"7.7 ¿Ha utilizado internet en…
 Otro lugar?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_7A,"7.7 ¿Ha utilizado internet en…
 Especifique",100,Varchar2 ,[A-Z],
P7_8_1,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 salud?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_2,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 empleos, bolsas de trabajo (solo para elegido de 15 años o más)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_3,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 educación, investigación o tareas?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_4,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 viajes, hoteles y vuelos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_5,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 páginas de blogs?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_6,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 cursos en línea?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_7,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 bienes o servicios?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_8,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 rutas y ubicación (GPS)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_9,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 clima?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8_10,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 otro tipo de información?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_8A,"7.8 En los últimos tres meses, ¿ha buscado en Internet información sobre…
 otro tipo de información? Especifique",100,Varchar2 ,[A-Z],
P7_9_1,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para…
 realizar capacitación para el trabajo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_9_2,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para…
 tomar cursos para complementar la educación (como apoyo al estudio)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_9_3,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para…
 tomar tutoriales sobre cualquier tema de interés (a través de YouTube o de otras plataformas o aplicaciones)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_9_4,"7.9. En los últimos tres meses, ¿ha utilizado el Internet para…
 otro tipo de capacitaciones?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_9A,"7.9 En los últimos tres meses, ¿ha utilizado el Internet para…
 otro tipo de capacitaciones? Especifique",100,Varchar2 ,[A-Z],
P7_10_1,"7.10 En los últimos tres meses, ¿ha utilizado el internet para…
 enviar correos electrónicos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_10_2,"7.10 En los últimos tres meses, ¿ha utilizado el internet para…
 realizar conversaciones telefónicas (a través de Skype o WhatsApp)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_10_3,"7.10 En los últimos tres meses, ¿ha utilizado el internet para…
 enviar mensajes instantáneos (WhatsApp, Messenger, Twitter, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_10_4,"7.10 En los últimos tres meses, ¿ha utilizado el internet para…
 Otro medio de comunicación)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_10A,"7.10 En los últimos tres meses, ¿ha utilizado el internet para…
 Otro medio de comunicación)? Especifique",100,Varchar2 ,[A-Z],
P7_11_1,"7.11 En los últimos tres meses, ¿en Internet…
 leyó periódicos, revistas o libros?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_2,"7.11 En los últimos tres meses, ¿en Internet…
 vio películas, series, conciertos y otros audiovisuales de pago (Netflix, Clarovideo, Blim, OTT, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_3,"7.11 En los últimos tres meses, ¿en Internet…
 vio películas, series, conciertos y otros audiovisuales gratuitos (Youtube)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_4,"7.11 En los últimos tres meses, ¿en Internet…
 escuchó música gratis que no sea radio AM y FM (Spotify, Google music, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_5,"7.11 En los últimos tres meses, ¿en Internet…
 jugó en línea?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_6,"7.11 En los últimos tres meses, ¿en Internet…
 escucho contenidos de radio AM o FM?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_7,"7.11 En los últimos tres meses, ¿en Internet…
accedió a TV en la web (canales abiertos por internet: Tv Azteca en vivo)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11_8,"7.11 En los últimos tres meses, ¿en Internet…
 Otro tipo de entretenimiento?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_11A,"7.10 En los últimos tres meses, ¿en Internet…
 Otro tipo de entretenimiento? Especifique",100,Varchar2 ,[A-Z],
P7_12,"7.12 En los últimos tres meses, ¿usted ha creado o desarrollado sitios de Internet o blogs?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_13,"7.13 En los últimos tres meses, ¿ha usado redes sociales?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_1,"7.14 ¿Qué redes sociales utiliza?
 Facebook",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_2,"7.14 ¿Qué redes sociales utiliza?
 Twitter",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_3,"7.14 ¿Qué redes sociales utiliza?
 Instagram",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_4,"7.14 ¿Qué redes sociales utiliza?
 LinkedIn",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_5,"7.14 ¿Qué redes sociales utiliza?
 Snapchat",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_6,"7.14 ¿Qué redes sociales utiliza?
Whatsapp",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_7,"7.14 ¿Qué redes sociales utiliza?
Youtube",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_8,"7.14 ¿Qué redes sociales utiliza?
Pinterest",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_9,"7.14 ¿Qué redes sociales utiliza?
Messenger",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_10,"7.14 ¿Qué redes sociales utiliza?
Tumblr",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14_11,"7.14 ¿Qué redes sociales utiliza?
Otras redes",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_14A,"7.14 ¿Qué redes sociales utiliza?
Otras redes Especifique",100,Varchar2 ,[A-Z],
P7_15_1,"7.15 En los últimos tres meses, ¿ha utilizado Internet para…
 descargar software o aplicaciones?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_15_2,"7.15 En los últimos tres meses, ¿ha utilizado Internet para…
 utilizar servicios en la nube (Dropbox, hosting o alojamiento de paga o gratuitos)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_1,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 infección por virus?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_2,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 exceso de información no deseada?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_3,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 interrupciones en el servicio?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_4,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 lentitud en la transferencia de la información?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_5,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 fraudes con información (financiera, personal, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_6,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 violación a la privacidad?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_7,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 mensajes de personas desconocidas?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16_8,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 Otro problema?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_16A,"7.16 En los últimos tres meses ¿ha tenido en los equipos que utiliza para conectarse a Internet...
 Otro problema? Especifique",100,Varchar2 ,[A-Z],
P7_17,"7.17 En los últimos 12 meses, ¿ha realizado ventas por Internet?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_18,7.18 Generalmente ¿con qué frecuencia realiza ventas por Internet?,1,Varchar2 ,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada  quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_19,"7.19 En los últimos 12 meses, ¿ha realizado compras por Internet? (Excluya compras por motivo de trabajo e incluya las realizadas por su negocio)",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_1,"7.20 ¿Por qué no ha realizado compras por Internet?
 Prefiere comprar en persona",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_2,"7.20 ¿Por qué no ha realizado compras por Internet?
 No le interesa o no lo necesita",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_3,"7.20 ¿Por qué no ha realizado compras por Internet?
 Por falta de recursos económicos",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_4,"7.20 ¿Por qué no ha realizado compras por Internet?
 Desconfía de la calidad del producto que recibirá",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_5,"7.20 ¿Por qué no ha realizado compras por Internet?
 Desconfía de la seguridad del proceso de compra (privacidad de los datos, robo de identidad o de datos de tarjetas)",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_6,"7.20 ¿Por qué no ha realizado compras por Internet?
 No cuenta con la tarjeta de crédito, débito o servicios de Banca en línea",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_7,"7.20 ¿Por qué no ha realizado compras por Internet?
 No sabe como hacerlo",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_8,"7.20 ¿Por qué no ha realizado compras por Internet?
 No le permiten realizarlo",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_9,"7.20 ¿Por qué no ha realizado compras por Internet?
 No se considera con la edad suficiente para hacerlo",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20_10,"7.20 ¿Por qué no ha realizado compras por Internet?
 Otra razón",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_20A,"7.20 ¿Por qué no ha realizado compras por Internet?
Otra razón Especifique",100,Varchar2 ,[A-Z],
P7_21,"7.21 Por lo general, ¿con que frecuencia realiza compras por Internet?",1,Varchar2 ,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_22_1,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 libros (incluye libros electrónicos)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_2,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 música y videos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_3,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 computadoras, laptops o tablets?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_4,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 celulares o accesorios?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_5,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 programas y/o aplicaciones (software)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_6,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 alimentos y bebidas?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_7,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 entradas o reservaciones de eventos de entretenimiento (deporte, teatro, conciertos)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_8,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
productos de viaje?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_9,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 aparatos electrónicos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_10,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 productos de higiene personal, belleza y cosméticos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_11,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
artículos de uso personal, incluyendo ropa y accesorios?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_12,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 artículos para el hogar?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_13,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 vehículos o refacciones?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_14,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
productos financieros (acciones, seguros y planes de ahorro)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_15,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
consolas de videojuegos y juegos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_16,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
artículos de salud (medicinas, aparatos ortopédicos, instrumentos médicos, etc.)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_17,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
equipo fotográfico, de telecomunicaciones o equipos ópticos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_18,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
servicio de transporte por plataforma (Uber, DiDi, etc.)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22_19,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet…
 Otro producto?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_22A,"7.22 En los últimos 12 meses, ¿usted ha comprado por Internet… 
Otro producto Especifique",100,Varchar2 ,[A-Z],
P7_23,7.23 ¿El sitio de Internet donde ha realizado las compras es…,1,Varchar2 ,"[1-3],9","1 nacional?, 2 extranjero?, 3 ambos?, 9 No sabe"
P7_24_1,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Entrega directa al comprador mediante servicio de paquetería",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_24_2,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Entrega directa del vendedor al comprador",1,Varchar2 ,[1-2],"1 Sí, 2 No"
